plano,data,pagamento,data_pagamento,saida,saldo,carteira
bradesco,2024-05-03,6676,2024-05-03,1040,5636,23194
amil,2024-11-06,1859,2024-11-06,694,1165,24366
unimed,2024-10-11,7970,2024-10-11,4764,3206,53836
amil,2024-10-19,6572,2024-10-19,7113,-541,58415
hapvida,2025-03-20,7375,2025-03-20,110,7265,14932
bradesco,2024-09-14,7174,2024-09-14,3838,3336,98240
amil,2025-02-18,4305,2025-02-18,9644,-5339,82022
amil,2025-01-31,9197,2025-01-31,5531,3666,56966
hapvida,2024-11-07,9806,2024-11-07,7793,2013,25482
amil,2024-05-23,5737,2024-05-23,6955,-1218,51159
unimed,2024-02-22,5498,2024-02-22,4207,1291,81099
bradesco,2024-04-04,5633,2024-04-04,4001,1632,90033
unimed,2024-02-01,5038,2024-02-01,6473,-1435,89478
hapvida,2024-08-07,6115,2024-08-07,7120,-1005,14371
unimed,2024-05-25,7907,2024-05-25,9157,-1250,12569
unimed,2024-12-31,5057,2024-12-31,716,4341,8110
unimed,2024-04-08,4389,2024-04-08,1140,3249,69309
hapvida,2024-10-06,6467,2024-10-06,9006,-2539,55416
unimed,2024-06-14,1726,2024-06-14,3173,-1447,25067
amil,2024-11-05,8842,2024-11-05,4548,4294,8616
amil,2024-02-10,9646,2024-02-10,9103,543,58646
hapvida,2024-07-23,9558,2024-07-23,9179,379,13233
unimed,2024-03-23,981,2024-03-23,4611,-3630,49251
hapvida,2025-03-31,3851,2025-03-31,8773,-4922,17922
bradesco,2024-10-01,6183,2024-10-01,4924,1259,43143
hapvida,2024-11-13,931,2024-11-13,3082,-2151,43656
bradesco,2025-04-26,8577,2025-04-26,3522,5055,78686
unimed,2024-01-13,4778,2024-01-13,6641,-1863,34252
hapvida,2024-01-12,2019,2024-01-12,730,1289,28488
unimed,2024-04-20,5346,2024-04-20,9150,-3804,14500
hapvida,2024-10-05,6588,2024-10-05,5330,1258,764
bradesco,2024-11-29,2169,2024-11-29,9468,-7299,80723
hapvida,2025-01-16,3271,2025-01-16,1316,1955,19962
bradesco,2024-02-20,1368,2024-02-20,4795,-3427,26829
unimed,2024-12-21,4884,2024-12-21,1141,3743,22045
unimed,2024-07-29,2471,2024-07-29,8914,-6443,91636
amil,2024-11-20,8058,2024-11-20,1396,6662,21868
amil,2025-02-08,3205,2025-02-08,8617,-5412,8768
bradesco,2024-11-13,2699,2024-11-13,8897,-6198,93803
bradesco,2024-02-14,1622,2024-02-14,8432,-6810,13395
hapvida,2024-06-17,4534,2024-06-17,162,4372,30733
hapvida,2024-09-29,6485,2024-09-29,6014,471,3173
bradesco,2024-05-19,1305,2024-05-19,5997,-4692,56169
hapvida,2024-03-20,9356,2024-03-20,9851,-495,41296
amil,2025-02-16,6182,2025-02-16,3849,2333,96811
bradesco,2025-02-23,5601,2025-02-23,6613,-1012,33825
unimed,2025-04-03,3949,2025-04-03,378,3571,16340
unimed,2024-06-22,6038,2024-06-22,2939,3099,5776
bradesco,2024-07-08,2624,2024-07-08,6447,-3823,47173
unimed,2024-09-23,7515,2024-09-23,4333,3182,23298
amil,2024-08-17,2814,2024-08-17,8629,-5815,51244
bradesco,2024-08-03,1464,2024-08-03,1612,-148,35121
unimed,2025-03-04,4006,2025-03-04,3048,958,93217
amil,2025-01-20,9663,2025-01-20,407,9256,80255
amil,2025-03-12,8948,2025-03-12,7337,1611,29360
bradesco,2024-01-29,6892,2024-01-29,2060,4832,49731
amil,2024-04-26,4801,2024-04-26,4511,290,67730
amil,2024-10-31,567,2024-10-31,1086,-519,93344
hapvida,2025-04-04,8067,2025-04-04,6064,2003,20274
bradesco,2024-05-19,9975,2024-05-19,4721,5254,99915
amil,2024-02-08,9732,2024-02-08,7477,2255,8085
amil,2024-10-23,4665,2024-10-23,4915,-250,12390
unimed,2024-03-21,1496,2024-03-21,124,1372,59202
unimed,2025-01-04,1952,2025-01-04,4240,-2288,78843
bradesco,2024-08-23,7410,2024-08-23,44,7366,23900
amil,2025-03-23,4780,2025-03-23,8578,-3798,75529
hapvida,2025-02-09,1912,2025-02-09,4124,-2212,42475
hapvida,2024-05-04,8222,2024-05-04,2623,5599,97865
bradesco,2024-06-09,7317,2024-06-09,2702,4615,49283
amil,2024-12-17,8375,2024-12-17,938,7437,69378
amil,2024-07-28,3493,2024-07-28,6726,-3233,47630
unimed,2024-11-02,8603,2024-11-02,5887,2716,20218
unimed,2024-09-18,6496,2024-09-18,655,5841,55580
amil,2024-11-18,3286,2024-11-18,3132,154,25514
hapvida,2024-02-03,9563,2024-02-03,8952,611,8542
amil,2024-12-19,5302,2024-12-19,9619,-4317,42498
bradesco,2024-02-24,4218,2024-02-24,9225,-5007,38602
unimed,2024-02-18,685,2024-02-18,4564,-3879,15762
bradesco,2024-10-19,2852,2024-10-19,9062,-6210,61289
hapvida,2024-11-30,3644,2024-11-30,1752,1892,40355
hapvida,2024-12-28,7322,2024-12-28,684,6638,96834
